id,clientID,topic,message,timestamp
987,t2g5:108,t2g5, temp; 29.09 humid; 60.29 quality; 38,10/7/2024 11:37
988,t2g5:108,t2g5, temp; 27.38 humid; 59.58 quality; 38,10/7/2024 11:52
989,t2g5:108,t2g5, temp; 29.77 humid; 59.38 quality; 37,10/7/2024 12:07
990,t2g5:108,t2g5, temp; 28.74 humid; 60.27 quality; 36,10/7/2024 12:22
991,t2g5:108,t2g5, temp; 31.14 humid; 60.13 quality; 35,10/7/2024 12:37
992,t2g5:108,t2g5, temp; 33.54 humid; 59.44 quality; 35,10/7/2024 12:52
993,t2g5:108,t2g5, temp; 29.43 humid; 60.32 quality; 34,10/7/2024 13:07
994,t2g5:108,t2g5, temp; 33.88 humid; 60.67 quality; 34,10/7/2024 13:23
995,t2g5:108,t2g5, temp; 27.38 humid; 59.64 quality; 33,10/7/2024 13:38
996,t2g5:108,t2g5, temp; 32.51 humid; 59.17 quality; 32,10/7/2024 13:53
997,t2g5:108,t2g5, temp; 32.51 humid; 59.48 quality; 32,10/7/2024 14:08
998,t2g5:108,t2g5, temp; 28.06 humid; 59.90 quality; 33,10/7/2024 14:23
999,t2g5:108,t2g5, temp; 32.17 humid; 59.58 quality; 33,10/7/2024 14:38
1000,t2g5:108,t2g5, temp; 27.72 humid; 59.01 quality; 34,10/7/2024 14:53
1001,t2g5:108,t2g5, temp; 29.43 humid; 58.82 quality; 32,10/7/2024 15:08
1002,t2g5:108,t2g5, temp; 28.06 humid; 59.21 quality; 28,10/7/2024 15:23
1003,t2g5:108,t2g5, temp; 30.11 humid; 58.44 quality; 32,10/7/2024 15:38
1004,t2g5:108,t2g5, temp; 29.09 humid; 58.58 quality; 31,10/7/2024 15:53
1005,t2g5:108,t2g5, temp; 30.80 humid; 58.85 quality; 26,10/7/2024 16:08
1006,t2g5:108,t2g5, temp; 33.54 humid; 59.46 quality; 32,10/7/2024 16:23
1007,t2g5:108,t2g5, temp; 28.40 humid; 59.59 quality; 31,10/7/2024 16:38
1008,t2g5:108,t2g5, temp; 30.46 humid; 59.80 quality; 32,10/7/2024 16:53
1009,t2g5:108,t2g5, temp; 29.43 humid; 59.23 quality; 31,10/7/2024 17:08
1010,t2g5:108,t2g5, temp; 33.88 humid; 59.66 quality; 31,10/7/2024 17:23
1011,t2g5:108,t2g5, temp; 30.80 humid; 60.01 quality; 32,10/7/2024 17:38
1012,t2g5:108,t2g5, temp; 32.51 humid; 60.00 quality; 32,10/7/2024 17:53
1013,t2g5:108,t2g5, temp; 31.48 humid; 60.15 quality; 31,10/7/2024 18:08
1014,t2g5:108,t2g5, temp; 31.82 humid; 61.21 quality; 32,10/7/2024 18:23
1015,t2g5:108,t2g5, temp; 32.17 humid; 60.07 quality; 32,10/7/2024 18:38
