id,clientID,topic,message,timestamp
607,t1g2:110,t1g2,24.69;67.69;34,2024-07-10 16:10:44
608,t1g2:110,t1g2,24.71;68.42;34,2024-07-10 16:25:44
609,t1g2:110,t1g2,24.52;67.66;34,2024-07-10 16:40:44
610,t1g2:110,t1g2,24.48;67.44;34,2024-07-10 16:55:44
611,t1g2:110,t1g2,24.32;68.34;35,2024-07-10 17:10:44
612,t1g2:110,t1g2,24.50;68.21;34,2024-07-10 17:25:44
613,t1g2:110,t1g2,24.45;68.06;35,2024-07-10 17:40:44
614,t1g2:110,t1g2,24.37;67.62;35,2024-07-10 17:55:44
615,t1g2:110,t1g2,24.18;67.88;34,2024-07-10 18:10:44
616,t1g2:110,t1g2,23.99;68.43;35,2024-07-10 18:25:44
617,t1g2:110,t1g2,23.50;68.20;36,2024-07-10 18:40:44
618,t1g2:110,t1g2,23.68;68.17;35,2024-07-10 18:55:44
619,t1g2:110,t1g2,24.08;66.89;36,2024-07-10 19:10:44
620,t1g2:110,t1g2,24.56;68.85;35,2024-07-10 19:25:45
621,t1g2:110,t1g2,24.65;70.29;34,2024-07-10 19:40:45
622,t1g2:110,t1g2,24.92;71.11;34,2024-07-10 19:55:45
623,t1g2:110,t1g2,25.05;71.23;34,2024-07-10 20:10:45
624,t1g2:110,t1g2,25.00;73.00;34,2024-07-10 20:25:45
625,t1g2:110,t1g2,25.21;73.49;33,2024-07-10 20:40:45
626,t1g2:110,t1g2,25.31;73.37;34,2024-07-10 20:55:45
627,t1g2:110,t1g2,25.36;74.66;35,2024-07-10 21:10:45
628,t1g2:110,t1g2,25.38;75.00;34,2024-07-10 21:25:45
629,t1g2:110,t1g2,25.47;75.57;34,2024-07-10 21:40:44
630,t1g2:110,t1g2,25.52;75.76;35,2024-07-10 21:55:44
631,t1g2:110,t1g2,25.58;76.16;35,2024-07-10 22:10:44
632,t1g2:110,t1g2,25.61;77.02;35,2024-07-10 22:25:44
633,t1g2:110,t1g2,25.62;77.56;35,2024-07-10 22:40:44
634,t1g2:110,t1g2,25.67;77.66;35,2024-07-10 22:55:44
635,t1g2:110,t1g2,25.69;77.84;35,2024-07-10 23:10:44
636,t1g2:110,t1g2,25.74;77.86;36,2024-07-10 23:25:44
637,t1g2:110,t1g2,25.77;78.15;36,2024-07-10 23:40:44
638,t1g2:110,t1g2,25.78;78.25;36,2024-07-10 23:55:44
639,t1g2:110,t1g2,25.84;78.11;36,2024-07-11 00:10:44
640,t1g2:110,t1g2,25.84;78.41;36,2024-07-11 00:25:44
641,t1g2:110,t1g2,25.88;78.75;36,2024-07-11 00:40:44
642,t1g2:110,t1g2,25.87;79.03;37,2024-07-11 00:55:44
643,t1g2:110,t1g2,25.91;79.31;35,2024-07-11 01:10:44
644,t1g2:110,t1g2,25.96;80.11;36,2024-07-11 01:25:44
645,t1g2:110,t1g2,25.98;80.60;36,2024-07-11 01:40:44
646,t1g2:110,t1g2,25.99;81.34;36,2024-07-11 01:55:44
647,t1g2:110,t1g2,26.02;81.42;36,2024-07-11 02:10:44
648,t1g2:110,t1g2,25.99;81.50;36,2024-07-11 02:25:44
649,t1g2:110,t1g2,26.05;81.30;36,2024-07-11 02:40:44
650,t1g2:110,t1g2,26.08;81.57;36,2024-07-11 02:55:44
651,t1g2:110,t1g2,26.06;82.25;36,2024-07-11 03:10:44
652,t1g2:110,t1g2,26.09;82.60;36,2024-07-11 03:25:44
653,t1g2:110,t1g2,26.12;82.88;37,2024-07-11 03:40:44
654,t1g2:110,t1g2,26.09;82.57;32,2024-07-11 03:55:44
655,t1g2:110,t1g2,26.08;82.58;37,2024-07-11 04:10:44
656,t1g2:110,t1g2,26.12;82.32;36,2024-07-11 04:25:44
657,t1g2:110,t1g2,26.12;82.14;37,2024-07-11 04:40:44
658,t1g2:110,t1g2,26.12;82.57;36,2024-07-11 04:55:44
659,t1g2:110,t1g2,26.16;82.55;35,2024-07-11 05:10:44
660,t1g2:110,t1g2,26.16;82.97;35,2024-07-11 05:25:44
661,t1g2:110,t1g2,26.20;82.92;35,2024-07-11 05:40:43
662,t1g2:110,t1g2,26.20;83.42;36,2024-07-11 05:55:43
663,t1g2:110,t1g2,26.23;83.52;35,2024-07-11 06:10:43
664,t1g2:110,t1g2,26.20;83.83;35,2024-07-11 06:25:43
665,t1g2:110,t1g2,26.06;79.57;35,2024-07-11 06:40:43
666,t1g2:110,t1g2,25.60;77.73;37,2024-07-11 06:55:43
667,t1g2:110,t1g2,25.21;75.89;41,2024-07-11 07:10:43
668,t1g2:110,t1g2,24.93;74.15;41,2024-07-11 07:25:43
669,t1g2:110,t1g2,24.51;72.97;42,2024-07-11 07:40:43
670,t1g2:110,t1g2,24.23;71.15;43,2024-07-11 07:55:43
671,t1g2:110,t1g2,23.86;69.56;43,2024-07-11 08:10:43
672,t1g2:110,t1g2,23.58;68.69;43,2024-07-11 08:25:43
673,t1g2:110,t1g2,23.42;67.86;43,2024-07-11 08:40:43
674,t1g2:110,t1g2,23.25;67.62;44,2024-07-11 08:55:43
675,t1g2:110,t1g2,23.28;66.80;42,2024-07-11 09:10:43
676,t1g2:110,t1g2,23.22;66.63;42,2024-07-11 09:25:43
677,t1g2:110,t1g2,23.15;66.63;41,2024-07-11 09:40:43
678,t1g2:110,t1g2,23.01;66.75;41,2024-07-11 09:55:43
679,t1g2:110,t1g2,23.10;66.54;42,2024-07-11 10:10:42
680,t1g2:110,t1g2,23.15;66.76;41,2024-07-11 10:25:42
681,t1g2:110,t1g2,23.11;66.69;41,2024-07-11 10:40:42
682,t1g2:110,t1g2,23.25;66.68;40,2024-07-11 10:55:42
683,t1g2:110,t1g2,23.29;67.34;40,2024-07-11 11:10:42
684,t1g2:110,t1g2,23.29;66.74;40,2024-07-11 11:25:42
685,t1g2:110,t1g2,23.32;66.80;40,2024-07-11 11:40:42
686,t1g2:110,t1g2,23.38;66.69;40,2024-07-11 11:55:42
687,t1g2:110,t1g2,23.31;67.05;40,2024-07-11 12:10:42
688,t1g2:110,t1g2,23.38;66.90;40,2024-07-11 12:25:42
689,t1g2:110,t1g2,23.33;67.08;40,2024-07-11 12:40:42
690,t1g2:110,t1g2,23.48;67.13;39,2024-07-11 12:55:42
691,t1g2:110,t1g2,23.63;66.43;39,2024-07-11 13:10:42
692,t1g2:110,t1g2,23.72;66.37;38,2024-07-11 13:25:42
693,t1g2:110,t1g2,23.80;67.29;39,2024-07-11 13:40:42
694,t1g2:110,t1g2,23.91;67.01;39,2024-07-11 13:55:42
695,t1g2:110,t1g2,23.80;66.94;39,2024-07-11 14:10:42
696,t1g2:110,t1g2,23.87;66.65;39,2024-07-11 14:25:42
697,t1g2:110,t1g2,23.97;67.78;39,2024-07-11 14:40:42
