id,clientID,topic,message,timestamp
170,t2g2:114,t2g2,25.00;67.66;34;Min;,2024-07-01 20:25:05
171,t2g2:114,t2g2,25.07;67.44;34;Min;,2024-07-01 20:35:06
172,t2g2:114,t2g2,25.10;68.70;37;Min;,2024-07-01 20:45:06
173,t2g2:114,t2g2,25.21;68.75;34;Min;,2024-07-01 20:55:07
174,t2g2:114,t2g2,25.23;69.09;35;Min;,2024-07-01 21:05:07
175,t2g2:114,t2g2,25.24;69.21;35;Min;,2024-07-01 21:15:08
176,t2g2:114,t2g2,25.28;69.90;36;Min;,2024-07-01 21:25:08
177,t2g2:114,t2g2,25.35;70.41;36;Min;,2024-07-01 21:35:09
178,t2g2:114,t2g2,25.37;70.91;36;Min;,2024-07-01 21:45:09
179,t2g2:114,t2g2,25.40;71.35;37;Min;,2024-07-01 21:55:10
180,t2g2:114,t2g2,25.44;71.34;37;Min;,2024-07-01 22:05:10
181,t2g2:114,t2g2,25.46;71.78;37;Min;,2024-07-01 22:15:11
182,t2g2:114,t2g2,25.46;71.81;38;Min;,2024-07-01 22:25:11
183,t2g2:114,t2g2,25.52;72.37;39;Min;,2024-07-01 22:35:12
184,t2g2:114,t2g2,25.52;73.10;37;Min;,2024-07-01 22:45:12
185,t2g2:114,t2g2,25.54;73.51;38;Min;,2024-07-01 22:55:13
186,t2g2:114,t2g2,25.60;73.71;38;Min;,2024-07-01 23:05:13
187,t2g2:114,t2g2,25.61;73.83;39;Min;,2024-07-01 23:15:14
188,t2g2:114,t2g2,25.64;73.48;39;Min;,2024-07-01 23:25:14
189,t2g2:114,t2g2,25.64;73.51;40;Min;,2024-07-01 23:35:15
190,t2g2:114,t2g2,25.69;74.37;39;Min;,2024-07-01 23:45:15
191,t2g2:114,t2g2,25.72;74.41;39;Min;,2024-07-01 23:55:16
192,t2g2:114,t2g2,25.72;74.93;40;Min;,2024-07-02 00:05:16
193,t2g2:114,t2g2,25.71;74.79;41;Min;,2024-07-02 00:15:17
194,t2g2:114,t2g2,25.76;75.37;38;Min;,2024-07-02 00:25:17
195,t2g2:114,t2g2,25.75;75.61;40;Min;,2024-07-02 00:35:18
196,t2g2:114,t2g2,25.81;75.52;41;Min;,2024-07-02 00:45:18
197,t2g2:114,t2g2,25.82;75.89;42;Min;,2024-07-02 00:55:18
198,t2g2:114,t2g2,25.79;76.42;42;Min;,2024-07-02 01:05:19
199,t2g2:114,t2g2,25.85;76.70;43;Min;,2024-07-02 01:15:19
200,t2g2:114,t2g2,25.86;76.95;42;Min;,2024-07-02 01:25:20
201,t2g2:114,t2g2,25.88;77.73;42;Min;,2024-07-02 01:35:20
202,t2g2:114,t2g2,25.88;77.85;41;Min;,2024-07-02 01:45:21
203,t2g2:114,t2g2,25.91;78.22;42;Min;,2024-07-02 01:55:21
204,t2g2:114,t2g2,25.89;78.39;42;Min;,2024-07-02 02:05:22
205,t2g2:114,t2g2,25.95;78.79;43;Min;,2024-07-02 02:15:22
206,t2g2:114,t2g2,25.96;78.82;42;Min;,2024-07-02 02:25:22
